"Field Name","Field Label","Field Type","Field Help","Model","Related Model","Dependencies"
"route_ids","Routes","many2many","Depending on the modules installed, this will allow you to define the route of the product: whether it will be bought, manufactured, replenished on order, etc.","Product","stock.route",""
"sale_delay","Customer Lead Time","integer","Delivery lead time, in days. It's the number of days, promised to the customer, between the confirmation of the sales order and the delivery.","Product","",""
"sale_line_warn","Sales Order Line","selection","Selecting the ""Warning"" option will notify user with the message, Selecting ""Blocking Message"" will throw an exception with the message and block the flow. The Message has to be written in the next field.","Product","",""
"sale_line_warn_msg","Message for Sales Order Line","text","","Product","",""
"sale_ok","Sales","boolean","","Product","",""
"sales_count","Sold","float","","Product","",""
"seller_ids","Vendors","one2many","","Product","product.supplierinfo",""
"seo_name","Seo name","char","","Product","",""
"sequence","Sequence","integer","Gives the sequence order when displaying a product list","Product","",""
"service_to_purchase","Subcontract Service","boolean","If ticked, each time you sell this product through a SO, a RfQ is automatically created to buy the product. Tip: don't forget to set a vendor on the product.","Product","",""
"service_tracking","Create on Order","selection","","Product","",""
"service_type","Track Service","selection","Manually set quantities on order: Invoice based on the manually entered quantity, without creating an analytic account.
Timesheets on contract: Invoice based on the tracked hours on the related timesheet.
Create a task and track hours: Create a task on the sales order validation and track the work hours.","Product","",""
"show_availability","Show availability Qty","boolean","","Product","",""
"show_forecasted_qty_status_button","Show Forecasted Qty Status Button","boolean","","Product","",""
"show_on_hand_qty_status_button","Show On Hand Qty Status Button","boolean","","Product","",""
"standard_price","Cost","float","Value of the product (automatically computed in AVCO).
        Used to value the product when the purchase cost is not known (e.g. inventory adjustment).
        Used to compute margins on sale orders.","Product","",""
"supplier_taxes_id","Purchase Taxes","many2many","Default taxes used when buying the product","Product","account.tax",""
"tax_string","Tax String","char","","Product","",""
"taxes_id","Sales Taxes","many2many","Default taxes used when selling the product","Product","account.tax",""
"tracking","Tracking","selection","Ensure the traceability of a storable product in your warehouse.","Product","",""
"type","Product Type","selection","Goods are tangible materials and merchandise you provide.
A service is a non-material product you provide.","Product","",""
"uom_category_id","UoM Category","many2one","Conversion between Units of Measure can only occur if they belong to the same category. The conversion will be made based on the ratios.","Product","uom.category",""
"uom_id","Unit of Measure","many2one","Default unit of measure used for all stock operations.","Product","uom.uom",""
"uom_name","Unit of Measure Name","char","","Product","",""
"uom_po_id","Purchase Unit","many2one","Default unit of measure used for purchase orders. It must be in the same category as the default unit of measure.","Product","uom.uom",""
"use_expiration_date","Use Expiration Date","boolean","When this box is ticked, you have the possibility to specify dates to manage product expiration, on the product and on the corresponding lot/serial numbers","Product","",""
"use_time","Best Before Date","integer","Number of days before the Expiration Date after which the goods starts deteriorating, without being dangerous yet. It will be computed on the lot/serial number.","Product","",""
"used_in_bom_count","# of BoM Where is Used","integer","","Product","",""
"valid_product_template_attribute_line_ids","Valid Product Attribute Lines","many2many","","Product","product.template.attribute.line",""
"valuation","Inventory Valuation","selection","Manual: The accounting entries to value the inventory are not posted automatically.
        Automated: An accounting entry is automatically created to value the inventory when a product enters or leaves the company.
        ","Product","",""
"variant_seller_ids","Variant Seller","one2many","","Product","product.supplierinfo",""
"virtual_available","Forecasted Quantity","float","","Product","",""
"visible_expense_policy","Re-Invoice Policy visible","boolean","","Product","",""
"volume","Volume","float","","Product","",""
"volume_uom_name","Volume unit of measure label","char","","Product","",""
"warehouse_id","Warehouse","many2one","","Product","stock.warehouse",""
"website_description","Description for the website","html","","Product","",""
"website_id","Website","many2one","Restrict to a specific website.","Product","website",""
"website_message_ids","Website Messages","one2many","Website communication history","Product","mail.message",""
"website_meta_description","Website meta description","text","","Product","",""
"website_meta_keywords","Website meta keywords","char","","Product","",""
"website_meta_og_img","Website opengraph image","char","","Product","",""
"website_meta_title","Website meta title","char","","Product","",""
"website_published","Visible on current website","boolean","","Product","",""
"website_ribbon_id","Ribbon","many2one","","Product","product.ribbon",""
"website_sequence","Website Sequence","integer","Determine the display order in the Website E-commerce","Product","",""
"website_size_x","Size X","integer","","Product","",""
"website_size_y","Size Y","integer","","Product","",""
"website_url","Website URL","char","The full URL to access the document through the website.","Product","",""
"weight","Weight","float","","Product","",""
"weight_uom_name","Weight unit of measure label","char","","Product","",""
"write_date","Last Updated on","datetime","","Product","",""
"write_uid","Last Updated by","many2one","","Product","res.users",""
"x_aa_product_name","Product Name Custom","char","","Product","",""
