"Field Name","Field Label","Field Type","Field Help","Model","Related Model","Dependencies"
"x_aa_res_partner_division","Exact division","char","","Contact","",""
"x_aa_res_partner_firstname","Exact first name","char","","Contact","",""
"x_aa_res_partner_gender","Exact gender","char","","Contact","",""
"x_aa_res_partner_hid","Exact hid","char","","Contact","",""
"x_aa_res_partner_id","Exact id","char","","Contact","",""
"x_aa_res_partner_identificationdate","Exact identification date","date","","Contact","",""
"x_aa_res_partner_identificationducoment","Exact identification document","char","","Contact","",""
"x_aa_res_partner_identificationuser","Exact identification user","char","","Contact","",""
"x_aa_res_partner_initials","Exact initials","char","","Contact","",""
"x_aa_res_partner_isanonymised","Exact is anonymised","boolean","","Contact","",""
"x_aa_res_partner_ismailingexcluded","Exact is mailing excluded","boolean","","Contact","",""
"x_aa_res_partner_ismaincontact","Exact is main contact","boolean","","Contact","",""
"x_aa_res_partner_jobtitledescription","Exact job title description","char","","Contact","",""
"x_aa_res_partner_lastname","Exact last name","char","","Contact","",""
"x_aa_res_partner_leadpurpose","Exact lead purpose","char","","Contact","",""
"x_aa_res_partner_leadsource","Exact lead source","char","","Contact","",""
"x_aa_res_partner_marketingnotes","Exact marketing notes","char","","Contact","",""
"x_aa_res_partner_middlename","Exact middle name","char","","Contact","",""
"x_aa_res_partner_modifier","Exact modifier","char","","Contact","",""
"x_aa_res_partner_modifierfullname","Exact modifier full name","char","","Contact","",""
"x_aa_res_partner_partnername","Exact partner name","char","","Contact","",""
"x_aa_res_partner_partnernameprefix","Exact partner name prefix","char","","Contact","",""
"x_aa_res_partner_person","Exact person","char","","Contact","",""
"x_aa_res_partner_phoneextention","Exact phone extension","char","","Contact","",""
"x_aa_res_partner_picture","Exact picture","char","","Contact","",""
"x_aa_res_partner_picturename","Exact picture name","char","","Contact","",""
"x_aa_res_partner_picturethumbnailurl","Exact picture thumbnail url","char","","Contact","",""
"x_aa_res_partner_pictureurl","Exact picture url","char","","Contact","",""
"x_aa_res_partner_socialsecuritynumber","Exact social security number","char","","Contact","",""
"x_aa_res_partner_startdate","Exact start date","date","","Contact","",""
"x_aa_res_partner_state","Exact state","char","","Contact","",""
"x_aa_res_partner_title","Exact title","char","","Contact","",""
"x_aa_res_partner_titleabbreviation","Exact title abbreviation","char","","Contact","",""
"x_aa_res_partner_titledescription","Exact title description","char","","Contact","",""
"zip","Zip","char","","Contact","",""
